プレイヤー名,合計,パーフェクトイーター,Drastic Dramatic,魔法のかくれんぼ,DEATH†ZIGOQ ～怒りの高速爆走野郎～,バッド・スイーツ、バッド・ドリーム
AIRGOD,16033,2930,3409,2595,3725,3374
MELS,16032,2916,3338,2599,3800,3379
MITAKA,16024,2903,3334,2611,3817,3359
Z.MAYS,16023,2869,3341,2638,3810,3365
ASAYOS,16019,2837,3389,2646,3797,3350
HOMURA,16019,2936,3422,2585,3732,3344
.MAPLE,16013,2929,3384,2642,3733,3325
SO-YUL,16009,2979,3387,2521,3720,3402
SYOTA,16005,2929,3367,2603,3721,3385
620,16002,2954,3329,2588,3717,3414
ARCL.,15996,2920,3362,2595,3772,3347
IGARA4,15991,2875,3376,2595,3745,3400
B,15986,2905,3363,2613,3751,3354
FARURU,15985,2944,3359,2609,3668,3405
OYAMA,15982,2937,3380,2629,3763,3273
AJAT!N,15981,2939,3420,2624,3663,3335
4YORI#,15980,2948,3389,2664,3639,3340
