プレイヤー名,合計,パーフェクトイーター,烏,μ9,サケビノミドリ,焔華,LIMIT TOPPA REVOLUTION,左脳スパーク,蒼い弓箭,ブルーローズイノセンス,怒れる大きな白い馬,極悪の華,Journey
ＳＫＹＬＹ,1145984,97005,96134,97303,95728,94779,94208,97743,96290,94756,92616,95983,93439
バォオ,1145590,96952,95974,96596,95016,95684,95533,96255,96801,95486,91223,96304,93766
うっに＠８６,1145518,96674,96964,96495,95576,93614,92869,98454,96643,97391,92859,95648,92331
カナヅチ,1144624,96681,95441,96822,95528,94140,93502,97757,95982,95234,93893,96311,93333
ざら,1144377,96749,95729,96744,95872,94611,93281,97169,95621,95695,92113,96450,94343
あざらし３,1143518,96862,95473,96511,95384,95479,94547,96545,94229,95443,93084,96173,93788
れきがん,1141250,96433,94728,96682,94760,93120,94164,98323,95665,95617,92185,96749,92824
とり＠１９,1138971,97404,96144,97412,96992,95030,95018,96095,94766,93860,89496,94613,92141
なんこつたん,1137617,96448,95452,95586,95736,94619,92803,97213,95559,96113,90413,95481,92194
スージー,1137050,95756,94206,96410,95512,94421,93495,96915,95577,94460,90935,95430,93933
ＮＺＮ,1136657,96568,95899,96464,96160,94292,92619,95682,93903,95452,91124,94956,93538
ピエ,1136657,96862,95548,96402,95720,94155,93863,96741,95533,94121,88965,94890,93857
がた,1134970,96839,95122,95990,94784,94254,94466,96792,95233,94313,90431,94431,92315
ウェッジ,1134444,96478,95527,96666,94944,94916,93973,96545,94537,94704,91223,92995,91936
ＦＬＥＲＯＶ,1133687,95575,95889,95672,94768,93569,93568,96698,94466,94504,91115,94591,93272
ティエスエム,1133495,95477,94952,95283,95472,94261,92384,96959,95286,95243,91241,93870,93067
ポチタ,1132405,96373,94941,95392,95432,93652,93178,97184,94220,95600,89523,94693,92217
トティ,1131827,95575,93908,96309,95104,94345,93053,97445,95427,94234,89127,94081,93219
ミクルク,1131103,96004,95942,96309,95216,95190,91942,95732,94079,94217,92239,92791,91442
てけろ,1130350,95252,94089,95516,94592,93394,92075,97503,95092,95330,90539,94402,92566
ゲマ,1129633,95861,93471,95299,94960,92473,92737,97198,94026,94895,91232,94497,92984
ＭＯＹＡーＮ,1129599,95635,95005,96627,93920,94033,91670,96835,94132,95139,92356,92653,91594
ロソてぃー,1128623,95575,95228,96153,95296,93242,91846,96857,93762,95017,89496,94314,91837
ＰＥＲＤＩＴ,1126467,95959,95260,96418,95200,94101,92626,95471,92969,95634,91672,93921,87236
ＫＵＭＡ,1126378,95522,94834,94545,94448,92914,92619,96756,95101,94095,90350,94701,90493
リュート,1126293,95914,94504,96270,95192,93850,91265,96973,92863,92565,90386,95524,90987
ＡＩＲＩＡ,1126223,95011,94920,94700,94112,93417,92008,96908,94449,94486,91330,92893,91989
キングシ,1126121,96493,94515,95858,95400,93257,94098,96952,94008,93765,87787,93389,90599
ＭＳＬ－Ｐ,1123885,95462,95867,95508,94424,93904,91640,96219,93964,94026,87023,93396,92452
カズ,1123774,95778,94504,95462,95360,93477,92560,95079,94660,93852,89091,94088,89863
ロキ,1123668,96486,93908,93822,93496,93074,91604,96291,94907,94443,90485,93717,91435
ほうき,1123035,95372,92481,95563,93992,93013,91685,95769,94616,93608,90539,94970,91427
つか,1121741,95191,93482,94755,94264,92115,93465,96001,94466,92626,90188,93746,91442
けーぴーえる,1121545,99841,99712,99673,98960,99147,99426,99608,99207,29243,98705,99497,98526
ｌｉｇｈｔＺ,1120329,96004,94100,94428,91696,90890,90713,95725,95718,95582,89334,94963,91176
くまのぷー,1119655,96237,92587,95431,95280,92990,91089,94637,93383,93113,88354,93965,92589
おとそ,1119533,95914,93567,93581,93584,91993,89963,96712,94572,94495,88750,94314,92088
